state,postalcode,2015,2016,2017,2018
Alabama,AL,7.25,7.25,7.25,7.25
Alaska,AK,8.75,9.75,9.75,9.75
Arizona,AZ,8.05,8.20,8.45,8.65
Arkansas,AR,7.50,8.00,8.50,8.50
California,CA,9.00,10.00,10.00,10.00
Colorado,CO,8.14,8.30,8.41,8.60
Connecticut,CT,9.15,9.60,10.10,10.10
Delaware,DE,8.25,8.25,8.25,8.25
District of Columbia,DC,10.50,11.50,11.50,11.50
Florida,FL,8.05,8.22,8.42,8.61
Georgia,GA,7.25,7.25,7.25,7.25
Hawaii,HI,7.75,8.50,9.25,10.10
Idaho,ID,7.25,7.25,7.25,7.25
Illinois,IL,8.25,8.25,8.25,8.25
Indiana,IN,7.25,7.25,7.25,7.25
Iowa,IA,7.25,7.25,7.25,7.25
Kansas,KS,7.25,7.25,7.25,7.25
Kentucky,KY,7.25,7.25,7.25,7.25
Louisiana,LA,7.25,7.25,7.25,7.25
Maine,ME,7.50,7.50,7.50,7.50
Maryland,MD,8.25,8.75,9.25,10.10
Massachusetts,MA,9.00,10.00,11.00,11.00
Michigan,MI,8.15,8.50,8.90,9.25
Minnesota,MN,9.00,9.50,9.50,9.71
Mississippi,MS,7.25,7.25,7.25,7.25
Missouri,MO,7.65,7.65,7.80,7.90
Montana,MT,8.05,8.20,8.45,8.65
Nebraska,NE,8.00,9.00,9.00,9.00
Nevada,NV,8.25,8.25,8.25,8.25
New Hampshire,NH,7.25,7.25,7.25,7.25
New Jersey,NJ,8.38,8.59,8.78,8.97
New Mexico,NM,7.50,7.50,7.50,7.50
New York,NY,8.75,9.00,9.00,9.00
North Carolina,NC,7.25,7.25,7.25,7.25
North Dakota,ND,7.25,7.25,7.25,7.25
Ohio,OH,8.15,8.30,8.50,8.70
Oklahoma,OK,7.25,7.25,7.25,7.25
Oregon,OR,9.25,9.45,9.65,9.86
Pennsylvania,PA,7.25,7.25,7.25,7.25
Rhode Island,RI,9.00,9.00,9.00,9.00
South Carolina,SC,7.25,7.25,7.25,7.25
South Dakota,SD,8.50,8.50,8.50,8.50
Tennessee,TN,7.25,7.25,7.25,7.25
Texas,TX,7.25,7.25,7.25,7.25
Utah,UT,7.25,7.25,7.25,7.25
Vermont,VT,9.15,9.60,10.00,10.50
Virginia,VA,7.25,7.25,7.25,7.25
Washington,WA,9.47,9.67,9.87,10.09
West Virginia,WV,8.00,8.75,8.75,8.75
Wisconsin,WI,7.25,7.25,7.25,7.25
Wyoming,WY,7.25,7.25,7.25,7.25
